Signal_Date,Buy_Price,StopLoss,First_Bottom_Date,Second_Bottom_Date,Neckline,Target_Price
2021-06-01,987.3748779296875,892.2747775044082,2021-04-05,2021-05-25,921.8654906873319,921.8654906873319
2021-06-03,1005.9259643554688,893.2990703914683,2021-05-25,2021-05-27,909.1187467146541,909.1187467146541
2021-06-04,997.2080688476562,905.9320434049215,2021-05-25,2021-05-28,958.2848664502153,958.2848664502153
2021-07-16,965.0062255859375,943.8549964513492,2021-05-31,2021-07-09,1039.2410040209252,1039.2410040209252
2021-09-01,1035.677734375,932.8454455587007,2021-06-28,2021-07-27,983.8047272546104,983.8047272546104
2021-09-02,1048.149169921875,921.0820085197854,2021-07-27,2021-07-28,951.8951912047526,951.8951912047526
2021-09-06,1108.085205078125,927.8659912762856,2021-07-28,2021-07-30,947.6466396394968,947.6466396394968
2022-02-09,1088.8526611328125,1054.8188905598922,2021-11-22,2021-11-23,1118.774930011545,1118.774930011545
2022-02-15,1104.5904541015625,1055.2756253778728,2021-11-23,2022-02-08,1142.9869057502729,1142.9869057502729
2022-02-21,1096.3447265625,1056.6460670952029,2021-11-23,2022-02-14,1142.9869057502729,1142.9869057502729
2022-03-24,1178.002685546875,1067.0162307067358,2021-11-23,2022-02-15,1142.9869057502729,1142.9869057502729
2022-05-19,1132.8680419921875,1082.6854103802077,2022-02-15,2022-05-12,1304.7731467025958,1304.7731467025958
2022-05-20,1198.9256591796875,1103.4026412800768,2022-05-12,2022-05-13,1132.0229967577814,1132.0229967577814
2022-05-23,1190.908447265625,1103.996418885784,2022-05-12,2022-05-16,1133.3933770518554,1133.3933770518554
2022-08-24,1209.8497314453125,1151.7123816357434,2022-05-20,2022-06-20,1287.0479508350386,1287.0479508350386
2022-09-09,1177.5611572265625,1157.578374439265,2022-06-20,2022-09-02,1223.7139850665083,1223.7139850665083
2022-11-09,1193.46484375,1149.466090273219,2022-06-20,2022-11-01,1223.7139850665083,1223.7139850665083
2022-12-05,1229.4200439453125,1146.7162695002469,2022-06-20,2022-11-28,1247.1112450841752,1247.1112450841752
2023-05-02,1118.7816162109375,1142.247583492427,2022-11-01,2022-12-23,1262.6710440545883,1262.6710440545883
2023-05-08,1132.9207763671875,1091.6033263738211,2023-04-27,2023-04-28,1110.9215603231803,1110.9215603231803
2023-06-09,1137.5269775390625,1123.3419687510764,2023-05-03,2023-06-02,1163.0783205249425,1163.0783205249425
2023-06-12,1138.53515625,1126.7563179342822,2023-05-25,2023-06-05,1163.0783205249425,1163.0783205249425
2023-06-13,1155.35546875,1128.3834200937229,2023-05-25,2023-06-06,1163.0783205249425,1163.0783205249425
2023-07-05,1184.527587890625,1139.6810664262143,2023-05-26,2023-06-27,1184.2984822350734,1184.2984822350734
2023-07-06,1209.3914794921875,1144.8141488097256,2023-06-02,2023-06-28,1184.2984822350734,1184.2984822350734
2023-11-20,1170.70166015625,1200.0022007952118,2023-07-04,2023-08-29,1308.9614722453714,1308.9614722453714
2023-11-22,1190.0609130859375,1195.8911583187871,2023-07-06,2023-08-31,1308.9614722453714,1308.9614722453714
2023-11-29,1196.289794921875,1176.1082864562932,2023-11-20,2023-11-21,1189.9612940264415,1189.9612940264415
2023-12-07,1224.3695068359375,1180.9418462059707,2023-11-20,2023-11-30,1201.895768374035,1201.895768374035
2023-12-08,1223.7216796875,1184.7789759105292,2023-11-20,2023-12-01,1201.895768374035,1201.895768374035
2024-03-22,1450.1033935546875,1408.120916820004,2024-01-31,2024-03-15,1507.3341149979008,1507.3341149979008
2024-03-26,1436.6988525390625,1411.733633980725,2024-03-15,2024-03-18,1436.8483464149253,1436.8483464149253
2024-03-27,1487.8004150390625,1412.4561372310984,2024-03-15,2024-03-19,1436.8483464149253,1436.8483464149253
2024-03-28,1480.8240966796875,1419.2082000493178,2024-03-15,2024-03-20,1440.1122269007035,1440.1122269007035
2024-05-28,1451.2742919921875,1420.7779102690051,2024-03-15,2024-05-21,1500.856084215032,1500.856084215032
2024-06-21,1449.2811279296875,1415.2964624662736,2024-03-15,2024-05-30,1500.856084215032,1500.856084215032
2024-06-24,1436.59912109375,1417.4391888409098,2024-05-30,2024-05-31,1437.371538130288,1437.371538130288
2024-07-01,1554.872802734375,1432.6375910430422,2024-05-30,2024-06-24,1509.3772354064818,1509.3772354064818
2024-07-02,1559.880859375,1436.1257791358028,2024-05-30,2024-06-25,1509.3772354064818,1509.3772354064818
2024-07-03,1547.1739501953125,1440.2368397034465,2024-05-30,2024-06-26,1513.837016470209,1513.837016470209
2024-08-12,1455.6844482421875,1428.401979157231,2024-05-30,2024-08-05,1603.3582879590508,1603.3582879590508
