Date,Close,Prev_Close,Daily_Change,Daily_Change_Pct,Day_of_Month,Month,Year,Weekday
2020-03-23,7610.25,8745.45,-1135.2,-12.98,23,3,2020,Monday
2020-03-12,9590.15,10458.4,-868.25,-8.3,12,3,2020,Thursday
2020-03-16,9197.4,9955.2,-757.8,-7.61,16,3,2020,Monday
2024-06-04,21884.5,23263.9,-1379.4,-5.93,4,6,2024,Tuesday
2020-05-04,9293.5,9859.9,-566.4,-5.74,4,5,2020,Monday
2020-03-18,8468.8,8967.05,-498.25,-5.56,18,3,2020,Wednesday
2020-03-09,10451.5,10989.5,-538.0,-4.9,9,3,2020,Monday
2022-02-24,16248.0,17063.2,-815.2,-4.78,24,2,2022,Thursday
2020-03-30,8281.1,8660.25,-379.15,-4.38,30,3,2020,Monday
2020-04-01,8253.8,8597.75,-343.95,-4.0,1,4,2020,Wednesday
2021-02-26,14529.2,15097.3,-568.1,-3.76,26,2,2021,Friday
2020-02-28,11201.8,11633.3,-431.5,-3.71,28,2,2020,Friday
2021-04-12,14310.8,14834.8,-524.0,-3.53,12,4,2021,Monday
2020-05-18,8823.25,9136.85,-313.6,-3.43,18,5,2020,Monday
2016-02-11,6976.35,7215.7,-239.35,-3.32,11,2,2016,Thursday
2025-04-07,22161.6,22904.45,-742.85,-3.24,7,4,2025,Monday
2020-12-21,13328.4,13760.5,-432.1,-3.14,21,12,2020,Monday
2022-02-14,16842.8,17374.8,-532.0,-3.06,14,2,2022,Monday
2020-04-21,8981.45,9261.85,-280.4,-3.03,21,4,2020,Tuesday
2020-09-24,10805.5,11131.8,-326.3,-2.93,24,9,2020,Thursday
2021-11-26,17026.4,17536.2,-509.8,-2.91,26,11,2021,Friday
2016-11-11,8296.3,8525.75,-229.45,-2.69,11,11,2016,Friday
2024-08-05,24055.6,24717.7,-662.1,-2.68,5,8,2024,Monday
2018-10-05,10316.5,10599.2,-282.7,-2.67,5,10,2018,Friday
2022-01-24,17149.1,17617.2,-468.1,-2.66,24,1,2022,Monday
2022-05-19,15809.4,16240.3,-430.9,-2.65,19,5,2022,Thursday
2022-06-13,15774.4,16201.8,-427.4,-2.64,13,6,2022,Monday
2020-05-14,9142.75,9383.55,-240.8,-2.57,14,5,2020,Thursday
2020-02-01,11661.8,11962.1,-300.3,-2.51,1,2,2020,Saturday
2020-03-17,8967.05,9197.4,-230.35,-2.5,17,3,2020,Tuesday
2020-03-06,10989.5,11269.0,-279.5,-2.48,6,3,2020,Friday
2020-10-15,11680.3,11971.0,-290.7,-2.43,15,10,2020,Thursday
2020-03-19,8263.45,8468.8,-205.35,-2.42,19,3,2020,Thursday
2018-10-04,10599.2,10858.2,-259.0,-2.39,4,10,2018,Thursday
2022-03-07,15863.2,16245.3,-382.1,-2.35,7,3,2022,Monday
2018-02-02,10760.6,11016.9,-256.3,-2.33,2,2,2018,Friday
2022-05-04,16677.6,17069.1,-391.5,-2.29,4,5,2022,Wednesday
2016-11-15,8108.45,8296.3,-187.85,-2.26,15,11,2016,Tuesday
2020-08-31,11387.5,11647.6,-260.1,-2.23,31,8,2020,Monday
2016-01-07,7568.3,7741.0,-172.7,-2.23,7,1,2016,Thursday
2022-05-12,15808.0,16167.1,-359.1,-2.22,12,5,2022,Thursday
2020-09-21,11250.5,11505.0,-254.5,-2.21,21,9,2020,Monday
2016-06-24,8088.6,8270.45,-181.85,-2.2,24,6,2016,Friday
2021-12-20,16614.2,16985.2,-371.0,-2.18,20,12,2021,Monday
2016-01-04,7791.3,7963.2,-171.9,-2.16,4,1,2016,Monday
2018-10-11,10234.7,10460.1,-225.4,-2.15,11,10,2018,Thursday
2019-07-08,11558.6,11811.2,-252.6,-2.14,8,7,2019,Monday
2024-10-03,25250.1,25796.9,-546.8,-2.12,3,10,2024,Thursday
2020-06-11,9902.0,10116.2,-214.2,-2.12,11,6,2020,Thursday
2022-06-16,15360.6,15692.2,-331.6,-2.11,16,6,2022,Thursday
2024-01-17,21571.9,22032.3,-460.4,-2.09,17,1,2024,Wednesday
2020-02-24,11829.4,12080.8,-251.4,-2.08,24,2,2020,Monday
2020-04-03,8083.8,8253.8,-170.0,-2.06,3,4,2020,Friday
2019-09-03,10797.9,11023.2,-225.3,-2.04,3,9,2019,Tuesday
2021-02-22,14675.7,14981.8,-306.1,-2.04,22,2,2021,Monday
2016-04-05,7603.2,7758.8,-155.6,-2.01,5,4,2016,Tuesday
2021-11-22,17416.6,17764.8,-348.2,-1.96,22,11,2021,Monday
2021-10-28,17857.2,18210.9,-353.7,-1.94,28,10,2021,Thursday
2022-09-16,17530.8,17877.4,-346.6,-1.94,16,9,2022,Friday
2018-12-10,10488.5,10693.7,-205.2,-1.92,10,12,2018,Monday
2020-01-06,11993.0,12226.7,-233.7,-1.91,6,1,2020,Monday
2021-01-27,13967.5,14238.9,-271.4,-1.91,27,1,2021,Wednesday
2025-02-28,22124.7,22545.05,-420.35,-1.86,28,2,2025,Friday
2020-07-14,10607.3,10802.7,-195.4,-1.81,14,7,2020,Tuesday
2018-12-21,10754.0,10951.7,-197.7,-1.81,21,12,2018,Friday
2016-11-21,7929.1,8074.1,-145.0,-1.8,21,11,2016,Monday
2022-09-26,17016.3,17327.3,-311.0,-1.79,26,9,2022,Monday
2021-03-24,14549.4,14814.8,-265.4,-1.79,24,3,2021,Wednesday
2021-04-30,14631.1,14894.9,-263.8,-1.77,30,4,2021,Friday
2022-12-23,17806.8,18127.3,-320.5,-1.77,23,12,2022,Friday
2021-04-19,14359.5,14617.8,-258.3,-1.77,19,4,2021,Monday
2016-09-29,8591.25,8745.15,-153.9,-1.76,29,9,2016,Thursday
2022-04-18,17173.7,17475.7,-302.0,-1.73,18,4,2022,Monday
2022-02-07,17213.6,17516.3,-302.7,-1.73,7,2,2022,Monday
2016-02-23,7109.55,7234.55,-125.0,-1.73,23,2,2016,Tuesday
2022-09-23,17327.3,17629.8,-302.5,-1.72,23,9,2022,Friday
2020-04-24,9154.4,9313.9,-159.5,-1.71,24,4,2020,Friday
2016-09-12,8715.6,8866.7,-151.1,-1.7,12,9,2016,Monday
2016-01-20,7309.3,7435.1,-125.8,-1.69,20,1,2016,Wednesday
2019-09-17,10817.6,11003.5,-185.9,-1.69,17,9,2019,Tuesday
2018-12-06,10601.2,10782.9,-181.7,-1.69,6,12,2018,Thursday
2020-09-04,11333.8,11527.5,-193.7,-1.68,4,9,2020,Friday
2022-06-10,16201.8,16478.1,-276.3,-1.68,10,6,2022,Friday
2016-04-28,7847.25,7979.9,-132.65,-1.66,28,4,2016,Thursday
2019-08-13,10925.8,11109.7,-183.9,-1.66,13,8,2019,Tuesday
2021-12-06,16912.2,17196.7,-284.5,-1.65,6,12,2021,Monday
2020-08-03,10891.6,11073.5,-181.9,-1.64,3,8,2020,Monday
2022-05-06,16411.2,16682.7,-271.5,-1.63,6,5,2022,Friday
2019-08-22,10741.3,10918.7,-177.4,-1.62,22,8,2019,Thursday
2025-01-06,23616.05,24004.75,-388.7,-1.62,6,1,2025,Monday
2023-01-27,17604.3,17891.9,-287.6,-1.61,27,1,2023,Friday
2016-02-16,7048.25,7162.95,-114.7,-1.6,16,2,2016,Tuesday
2020-06-15,9813.7,9972.9,-159.2,-1.6,15,6,2020,Monday
2018-03-16,10195.2,10360.2,-165.0,-1.59,16,3,2018,Friday
2020-06-24,10305.3,10471.0,-165.7,-1.58,24,6,2020,Wednesday
2018-02-06,10498.2,10666.5,-168.3,-1.58,6,2,2018,Tuesday
2018-09-24,10967.4,11143.1,-175.7,-1.58,24,9,2018,Monday
2017-09-22,9964.4,10121.9,-157.5,-1.56,22,9,2017,Friday
2016-10-13,8573.35,8708.8,-135.45,-1.56,13,10,2016,Thursday
2024-05-09,21957.5,22302.5,-345.0,-1.55,9,5,2024,Thursday
2024-01-23,21238.8,21571.8,-333.0,-1.54,23,1,2024,Tuesday
2021-04-05,14637.8,14867.3,-229.5,-1.54,5,4,2021,Monday
2021-03-25,14324.9,14549.4,-224.5,-1.54,25,3,2021,Thursday
2019-07-19,11419.2,11596.9,-177.7,-1.53,19,7,2019,Friday
2022-03-04,16245.3,16498.1,-252.8,-1.53,4,3,2022,Friday
2023-02-22,17554.3,17826.7,-272.4,-1.53,22,2,2023,Wednesday
2021-12-17,16985.2,17248.4,-263.2,-1.53,17,12,2021,Friday
2024-12-20,23587.5,23951.7,-364.2,-1.52,20,12,2024,Friday
2024-03-13,21997.7,22335.7,-338.0,-1.51,13,3,2024,Wednesday
2022-08-22,17490.7,17758.4,-267.7,-1.51,22,8,2022,Monday
2020-11-25,12858.4,13055.2,-196.8,-1.51,25,11,2020,Wednesday
2025-04-01,23165.7,23519.35,-353.65,-1.5,1,4,2025,Tuesday
2021-01-22,14371.9,14590.3,-218.4,-1.5,22,1,2021,Friday
2022-10-11,16983.6,17241.0,-257.4,-1.49,11,10,2022,Tuesday
2025-04-04,22904.45,23250.1,-345.65,-1.49,4,4,2025,Friday
2024-11-28,23914.15,24274.9,-360.75,-1.49,28,11,2024,Thursday
2023-03-13,17154.3,17412.9,-258.6,-1.49,13,3,2023,Monday
2019-06-06,11843.8,12021.7,-177.9,-1.48,6,6,2019,Thursday
2025-01-13,23085.95,23431.5,-345.55,-1.47,13,1,2025,Monday
2022-06-22,15413.3,15638.8,-225.5,-1.44,22,6,2022,Wednesday
2018-10-19,10303.5,10453.0,-149.5,-1.43,19,10,2018,Friday
2023-12-20,21150.2,21453.1,-302.9,-1.41,20,12,2023,Wednesday
2024-09-30,25810.85,26178.95,-368.1,-1.41,30,9,2024,Monday
2022-08-29,17312.9,17558.9,-246.0,-1.4,29,8,2022,Monday
2025-05-13,24578.35,24924.7,-346.35,-1.39,13,5,2025,Tuesday
2023-10-26,18857.2,19122.2,-265.0,-1.39,26,10,2023,Thursday
2017-09-27,9735.75,9871.5,-135.75,-1.38,27,9,2017,Wednesday
2025-01-21,23024.65,23344.75,-320.1,-1.37,21,1,2025,Tuesday
2018-10-03,10858.2,11008.3,-150.1,-1.36,3,10,2018,Wednesday
2020-10-26,11767.8,11930.3,-162.5,-1.36,26,10,2020,Monday
2016-02-08,7387.25,7489.1,-101.85,-1.36,8,2,2016,Monday
2024-11-13,23559.05,23883.45,-324.4,-1.36,13,11,2024,Wednesday
2019-04-22,11594.5,11752.8,-158.3,-1.35,22,4,2019,Monday
2024-12-17,24336.0,24668.25,-332.25,-1.35,17,12,2024,Tuesday
2020-10-28,11729.6,11889.4,-159.8,-1.34,28,10,2020,Wednesday
2023-10-23,19281.8,19542.7,-260.9,-1.34,23,10,2023,Monday
2016-02-02,7455.55,7555.95,-100.4,-1.33,2,2,2016,Tuesday
2025-02-11,23071.8,23381.6,-309.8,-1.32,11,2,2025,Tuesday
2021-01-29,13634.6,13817.5,-182.9,-1.32,29,1,2021,Friday
