strikePrice,expiryDate,CE,PE
22800,03-Jul-2025,"{'strikePrice': 22800, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22800.00', 'openInterest': 127, 'changeinOpenInterest': 28, 'pchangeinOpenInterest': 28.282828282828284, 'totalTradedVolume': 33, 'impliedVolatility': 0, 'lastPrice': 2720, 'change': 273.25, 'pChange': 11.167875753550629, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3075, 'bidQty': 750, 'bidprice': 2671.7, 'askQty': 75, 'askPrice': 2789.95, 'underlyingValue': 25549}","{'strikePrice': 22800, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22800.00', 'openInterest': 63154, 'changeinOpenInterest': 45685, 'pchangeinOpenInterest': 261.52040757914017, 'totalTradedVolume': 120775, 'impliedVolatility': 32.34, 'lastPrice': 1.75, 'change': -0.8500000000000001, 'pChange': -32.69230769230769, 'totalBuyQuantity': 834450, 'totalSellQuantity': 166125, 'bidQty': 825, 'bidprice': 1.7, 'askQty': 5850, 'askPrice': 1.75, 'underlyingValue': 25549}"
22850,03-Jul-2025,"{'strikePrice': 22850, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22850.00', 'openInterest': 6, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3000, 'bidQty': 750, 'bidprice': 2622, 'askQty': 750, 'askPrice': 2740.45, 'underlyingValue': 25549}","{'strikePrice': 22850, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22850.00', 'openInterest': 5937, 'changeinOpenInterest': 5512, 'pchangeinOpenInterest': 1296.9411764705883, 'totalTradedVolume': 12107, 'impliedVolatility': 31.79, 'lastPrice': 1.75, 'change': -1.1, 'pChange': -38.59649122807018, 'totalBuyQuantity': 101025, 'totalSellQuantity': 45225, 'bidQty': 900, 'bidprice': 1.75, 'askQty': 3600, 'askPrice': 1.8, 'underlyingValue': 25549}"
22900,03-Jul-2025,"{'strikePrice': 22900, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22900.00', 'openInterest': 13, 'changeinOpenInterest': 6, 'pchangeinOpenInterest': 85.71428571428571, 'totalTradedVolume': 11, 'impliedVolatility': 0, 'lastPrice': 2629.25, 'change': 317, 'pChange': 13.709590225970375, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3075, 'bidQty': 750, 'bidprice': 2571.95, 'askQty': 750, 'askPrice': 2680.5, 'underlyingValue': 25549}","{'strikePrice': 22900, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22900.00', 'openInterest': 11177, 'changeinOpenInterest': 10151, 'pchangeinOpenInterest': 989.3762183235867, 'totalTradedVolume': 23880, 'impliedVolatility': 31.34, 'lastPrice': 1.8, 'change': -1.2499999999999998, 'pChange': -40.983606557377044, 'totalBuyQuantity': 107850, 'totalSellQuantity': 64800, 'bidQty': 750, 'bidprice': 1.65, 'askQty': 18450, 'askPrice': 1.8, 'underlyingValue': 25549}"
22950,03-Jul-2025,"{'strikePrice': 22950, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22950.00', 'openInterest': 14, 'changeinOpenInterest': 7, 'pchangeinOpenInterest': 100, 'totalTradedVolume': 12, 'impliedVolatility': 0, 'lastPrice': 2574.65, 'change': 300.8000000000002, 'pChange': 13.22866503947051, 'totalBuyQuantity': 3900, 'totalSellQuantity': 3075, 'bidQty': 1725, 'bidprice': 2257.25, 'askQty': 750, 'askPrice': 2611.35, 'underlyingValue': 25549}","{'strikePrice': 22950, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22950.00', 'openInterest': 1247, 'changeinOpenInterest': 1038, 'pchangeinOpenInterest': 496.6507177033493, 'totalTradedVolume': 3652, 'impliedVolatility': 30.88, 'lastPrice': 1.85, 'change': -1.2999999999999998, 'pChange': -41.269841269841265, 'totalBuyQuantity': 46050, 'totalSellQuantity': 15150, 'bidQty': 300, 'bidprice': 1.85, 'askQty': 1800, 'askPrice': 2, 'underlyingValue': 25549}"
23000,03-Jul-2025,"{'strikePrice': 23000, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23000.00', 'openInterest': 478, 'changeinOpenInterest': 330, 'pchangeinOpenInterest': 222.97297297297297, 'totalTradedVolume': 363, 'impliedVolatility': 0, 'lastPrice': 2513.9, 'change': 270.0999999999999, 'pChange': 12.037614760673852, 'totalBuyQuantity': 6450, 'totalSellQuantity': 3375, 'bidQty': 750, 'bidprice': 2472.95, 'askQty': 300, 'askPrice': 2585.25, 'underlyingValue': 25549}","{'strikePrice': 23000, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23000.00', 'openInterest': 35022, 'changeinOpenInterest': 23202, 'pchangeinOpenInterest': 196.2944162436548, 'totalTradedVolume': 114144, 'impliedVolatility': 30.32, 'lastPrice': 1.85, 'change': -1.5, 'pChange': -44.776119402985074, 'totalBuyQuantity': 265800, 'totalSellQuantity': 111450, 'bidQty': 13500, 'bidprice': 1.8, 'askQty': 450, 'askPrice': 1.95, 'underlyingValue': 25549}"
23050,03-Jul-2025,"{'strikePrice': 23050, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23050.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 4650, 'bidQty': 750, 'bidprice': 2423.15, 'askQty': 750, 'askPrice': 2539.95, 'underlyingValue': 25549}","{'strikePrice': 23050, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23050.00', 'openInterest': 1132, 'changeinOpenInterest': 952, 'pchangeinOpenInterest': 528.8888888888889, 'totalTradedVolume': 3175, 'impliedVolatility': 30.75, 'lastPrice': 2.45, 'change': -1, 'pChange': -28.985507246376812, 'totalBuyQuantity': 44025, 'totalSellQuantity': 13425, 'bidQty': 7500, 'bidprice': 1.6, 'askQty': 3600, 'askPrice': 2.05, 'underlyingValue': 25549}"
23100,03-Jul-2025,"{'strikePrice': 23100, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23100.00', 'openInterest': 15, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 4, 'impliedVolatility': 0, 'lastPrice': 2250, 'change': 100, 'pChange': 4.651162790697675, 'totalBuyQuantity': 5025, 'totalSellQuantity': 3900, 'bidQty': 750, 'bidprice': 2400.85, 'askQty': 450, 'askPrice': 2489.85, 'underlyingValue': 25549}","{'strikePrice': 23100, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23100.00', 'openInterest': 9576, 'changeinOpenInterest': 8561, 'pchangeinOpenInterest': 843.448275862069, 'totalTradedVolume': 23662, 'impliedVolatility': 29.3, 'lastPrice': 1.9, 'change': -1.7000000000000002, 'pChange': -47.22222222222223, 'totalBuyQuantity': 41475, 'totalSellQuantity': 14175, 'bidQty': 2175, 'bidprice': 1.85, 'askQty': 1425, 'askPrice': 1.9, 'underlyingValue': 25549}"
23150,03-Jul-2025,"{'strikePrice': 23150, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23150.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4200, 'totalSellQuantity': 4200, 'bidQty': 750, 'bidprice': 2323.65, 'askQty': 750, 'askPrice': 2440.05, 'underlyingValue': 25549}","{'strikePrice': 23150, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23150.00', 'openInterest': 772, 'changeinOpenInterest': 471, 'pchangeinOpenInterest': 156.47840531561462, 'totalTradedVolume': 4203, 'impliedVolatility': 29.24, 'lastPrice': 2.2, 'change': -1.5499999999999998, 'pChange': -41.33333333333333, 'totalBuyQuantity': 30600, 'totalSellQuantity': 4125, 'bidQty': 3600, 'bidprice': 1.5, 'askQty': 450, 'askPrice': 2.2, 'underlyingValue': 25549}"
23200,03-Jul-2025,"{'strikePrice': 23200, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23200.00', 'openInterest': 22, 'changeinOpenInterest': 16, 'pchangeinOpenInterest': 266.6666666666667, 'totalTradedVolume': 19, 'impliedVolatility': 0, 'lastPrice': 2185, 'change': 127.65000000000009, 'pChange': 6.204583566238127, 'totalBuyQuantity': 4125, 'totalSellQuantity': 3900, 'bidQty': 75, 'bidprice': 2317.1, 'askQty': 450, 'askPrice': 2389.9, 'underlyingValue': 25549}","{'strikePrice': 23200, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23200.00', 'openInterest': 7599, 'changeinOpenInterest': 4872, 'pchangeinOpenInterest': 178.65786578657867, 'totalTradedVolume': 29938, 'impliedVolatility': 28.36, 'lastPrice': 2, 'change': -2, 'pChange': -50, 'totalBuyQuantity': 41625, 'totalSellQuantity': 15525, 'bidQty': 225, 'bidprice': 2, 'askQty': 600, 'askPrice': 2.05, 'underlyingValue': 25549}"
23250,03-Jul-2025,"{'strikePrice': 23250, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23250.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3000, 'bidQty': 750, 'bidprice': 2224.3, 'askQty': 750, 'askPrice': 2341.7, 'underlyingValue': 25549}","{'strikePrice': 23250, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23250.00', 'openInterest': 704, 'changeinOpenInterest': 137, 'pchangeinOpenInterest': 24.16225749559083, 'totalTradedVolume': 2050, 'impliedVolatility': 27.64, 'lastPrice': 1.9, 'change': -2.1999999999999997, 'pChange': -53.65853658536586, 'totalBuyQuantity': 30525, 'totalSellQuantity': 7875, 'bidQty': 1800, 'bidprice': 1.45, 'askQty': 300, 'askPrice': 2.7, 'underlyingValue': 25549}"
