,Entry_Date,Entry,Stoploss,Target,Status,Exit_Date,Exit_Price,Result,PnL
0,18,282.35,258.08,330.89,OPEN,21,330.89,WIN,48.54
1,294,468.7,444.16,517.77,OPEN,313,517.77,WIN,49.07
2,347,474.6,455.7,512.4,OPEN,357,455.7,LOSS,-18.9
3,354,471.3,452.9,508.11,OPEN,357,452.9,LOSS,-18.4
4,372,473.45,456.49,507.37,OPEN,384,507.37,WIN,33.92
5,516,553.5,523.2,614.09,OPEN,517,523.2,LOSS,-30.3
6,522,549.75,523.4,602.46,OPEN,530,523.4,LOSS,-26.35
7,539,561.2,529.96,623.67,OPEN,544,529.96,LOSS,-31.24
8,565,544.0,518.24,595.52,OPEN,594,595.52,WIN,51.52
9,568,544.8,527.47,579.46,OPEN,574,579.46,WIN,34.66
10,649,565.35,542.72,610.61,OPEN,724,610.61,WIN,45.26
11,661,569.55,553.01,602.63,OPEN,670,602.63,WIN,33.08
12,702,572.1,558.18,599.94,OPEN,716,558.18,LOSS,-13.92
13,722,571.75,559.28,596.7,OPEN,724,596.7,WIN,24.95
14,990,794.95,769.28,846.3,OPEN,996,769.28,LOSS,-25.67
15,992,801.2,770.1,863.41,OPEN,996,770.1,LOSS,-31.1
16,1048,780.8,741.38,859.64,OPEN,1057,741.38,LOSS,-39.42
17,1051,772.3,747.11,822.67,OPEN,1057,747.11,LOSS,-25.19
18,1062,771.75,741.65,831.96,OPEN,1065,831.96,WIN,60.21
19,1075,776.1,742.45,843.39,OPEN,1150,825.7,OPEN,49.6
20,1077,779.25,733.36,871.03,OPEN,1150,825.7,OPEN,46.45
