ticker,entry_date,entry_price,stop_loss,target,shares,position_value,entry_cost,risk,consecutive_reds,status,exit_price,exit_date,exit_cost,pnl,pnl_percent,return_on_capital
NSE:ASIANPAINT-EQ,2022-05-31 00:00:00+05:30,3198.195,2599.35,4395.885,62.5352738,200000,60,598.845,3,Loss,2596.75065,2022-06-30 00:00:00+05:30,48.71655387,-37720.20366,-18.86010183,-3.772020366
NSE:BRITANNIA-EQ,2022-05-31 00:00:00+05:30,3245.242,3050,3635.726,61.62868593,200000,60,195.242,3,Win,3632.090274,2022-06-30 00:00:00+05:30,67.15228523,23713.7985,11.85689925,2.37137985
NSE:HINDUNILVR-EQ,2022-05-31 00:00:00+05:30,2185.93375,1870.5,2816.80125,91.49408119,200000,60,315.43375,3,Win,2813.984449,2024-09-30 00:00:00+05:30,77.23887649,57325.68275,28.66284137,5.732568275
NSE:NESTLEIND-EQ,2022-05-31 00:00:00+05:30,914.36345,839.5,1064.09035,218.7314027,200000,60,74.86345,3,Loss,838.6605,2022-06-30 00:00:00+05:30,55.03241627,-16673.64486,-8.336822429,-1.667364486
NSE:ONGC-EQ,2022-07-31 00:00:00+05:30,149.09895,141.1,165.09685,1341.391069,200000,60,7.99895,4,Loss,140.9589,2022-08-31 00:00:00+05:30,56.72430289,-11035.71468,-5.517857339,-1.103571468
NSE:APOLLOHOSP-EQ,2022-08-31 00:00:00+05:30,4244.24,3361.55,6009.62,47.12268863,200000,60,882.69,4,Win,6003.61038,2024-01-31 00:00:00+05:30,84.87187878,82761.39073,41.38069536,8.276139073
NSE:AXISBANK-EQ,2022-08-31 00:00:00+05:30,726.726,618.25,943.678,275.2068868,200000,60,108.476,3,Win,942.734322,2022-12-31 00:00:00+05:30,77.83409334,59309.14372,29.65457186,5.930914372
NSE:BAJAJFINSV-EQ,2022-08-31 00:00:00+05:30,1521.50999,1090.9,2382.72997,131.4483647,200000,60,430.60999,3,Open,,,0,0,0,0
NSE:BAJFINANCE-EQ,2022-08-31 00:00:00+05:30,725.83511,522,1133.50533,275.5446757,200000,60,203.83511,3,Open,,,0,0,0,0
NSE:HINDALCO-EQ,2022-08-31 00:00:00+05:30,420.42,308.95,643.36,475.7147614,200000,60,111.47,4,Win,642.71664,2024-04-30 00:00:00+05:30,91.72493792,105598.0681,52.79903406,10.55980681
NSE:INFY-EQ,2022-08-31 00:00:00+05:30,1565.564,1367.15,1962.392,127.7494884,200000,60,198.414,3,Loss,1365.78285,2022-09-30 00:00:00+05:30,52.34341809,-25634.28312,-12.81714156,-2.563428312
NSE:LTIM-EQ,2022-08-31 00:00:00+05:30,4764.76,3733.3,6827.68,41.97483189,200000,60,1031.46,3,Open,,,0,0,0,0
NSE:LT-EQ,2022-08-31 00:00:00+05:30,1809.808,1456.35,2516.724,110.5089601,200000,60,353.458,5,Win,2514.207276,2023-07-31 00:00:00+05:30,83.35272944,77699.07873,38.84953937,7.769907873
NSE:TATASTEEL-EQ,2022-08-31 00:00:00+05:30,110.6105,82.7,166.4315,1808.146605,200000,60,27.9105,3,Win,166.2650685,2024-04-30 00:00:00+05:30,90.18948572,100481.4296,50.24071479,10.04814296
NSE:TCS-EQ,2022-08-31 00:00:00+05:30,3330.327,3023.85,3943.281,60.05416285,200000,60,306.477,3,Loss,3020.82615,2022-09-30 00:00:00+05:30,54.42395567,-18701.2384,-9.350619202,-1.87012384
NSE:TECHM-EQ,2022-08-31 00:00:00+05:30,1060.00895,943.7,1292.62685,188.6776522,200000,60,116.30895,3,Win,1291.334223,2023-09-30 00:00:00+05:30,73.09377283,43512.81566,21.75640783,4.351281566
NSE:TITAN-EQ,2022-08-31 00:00:00+05:30,2367.1648,1905.45,3290.5944,84.48925905,200000,60,461.7148,4,Win,3287.303806,2023-09-30 00:00:00+05:30,83.32255884,77598.54025,38.79927012,7.759854025
