Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,697.5,804.5,670.81,700.03
2022-02-28 00:00:00+05:30,707.59,728.71,659.25,700.23
2022-03-31 00:00:00+05:30,691.8,744.5,591.29,726.0
2022-04-30 00:00:00+05:30,723.0,759.09,658.0,667.18
2022-05-31 00:00:00+05:30,655.0,666.78,548.8,608.22
2022-06-30 00:00:00+05:30,606.0,616.8,522.0,540.05
2022-07-31 00:00:00+05:30,536.4,726.0,533.51,720.91
2022-08-31 00:00:00+05:30,725.11,763.8,686.14,730.63
2022-09-30 00:00:00+05:30,722.86,777.8,702.68,733.58
2022-10-31 00:00:00+05:30,733.7,759.9,693.1,714.41
2022-11-30 00:00:00+05:30,719.7,725.07,661.04,672.1
2022-12-31 00:00:00+05:30,675.46,677.0,630.0,657.52
2023-01-31 00:00:00+05:30,656.5,666.0,568.0,588.64
2023-02-28 00:00:00+05:30,594.4,652.76,564.5,611.21
2023-03-31 00:00:00+05:30,610.01,620.96,548.57,561.67
2023-04-30 00:00:00+05:30,565.5,629.6,563.22,628.01
2023-05-31 00:00:00+05:30,633.0,702.6,615.6,698.99
2023-06-30 00:00:00+05:30,702.4,739.89,694.5,716.06
2023-07-31 00:00:00+05:30,716.06,799.99,716.0,730.03
2023-08-31 00:00:00+05:30,730.03,733.09,680.1,716.3
2023-09-30 00:00:00+05:30,716.86,790.0,715.5,781.08
2023-10-31 00:00:00+05:30,778.08,819.2,735.25,749.27
2023-11-30 00:00:00+05:30,752.0,764.0,693.13,712.19
2023-12-31 00:00:00+05:30,716.0,769.5,714.2,732.78
2024-01-31 00:00:00+05:30,733.7,783.0,680.5,686.29
2024-02-29 00:00:00+05:30,686.59,691.0,636.62,649.54
2024-03-31 00:00:00+05:30,651.17,734.93,618.78,724.53
2024-04-30 00:00:00+05:30,726.13,741.95,669.15,692.36
2024-05-31 00:00:00+05:30,693.79,740.0,658.5,669.77
2024-06-30 00:00:00+05:30,694.89,742.95,637.57,711.56
2024-07-31 00:00:00+05:30,707.5,732.5,654.11,680.7
2024-08-31 00:00:00+05:30,683.15,721.51,642.5,720.02
2024-09-30 00:00:00+05:30,727.4,782.4,719.3,770.3
2024-10-31 00:00:00+05:30,766.01,781.47,660.1,688.98
2024-11-30 00:00:00+05:30,693.0,703.9,645.1,657.59
2024-12-31 00:00:00+05:30,659.5,725.74,649.1,682.3
2025-01-31 00:00:00+05:30,682.3,825.07,680.6,788.51
