Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,147.25,168.25,147.0,159.8
2022-02-28 00:00:00+05:30,162.0,170.3,149.0,169.55
2022-03-31 00:00:00+05:30,171.0,197.75,171.0,183.05
2022-04-30 00:00:00+05:30,183.8,209.0,181.9,182.85
2022-05-31 00:00:00+05:30,182.7,195.25,164.65,192.9
2022-06-30 00:00:00+05:30,194.5,201.95,174.75,185.6
2022-07-31 00:00:00+05:30,185.0,212.45,176.6,211.25
2022-08-31 00:00:00+05:30,212.5,235.5,205.75,234.8
2022-09-30 00:00:00+05:30,234.35,240.5,207.85,212.25
2022-10-31 00:00:00+05:30,213.0,247.8,212.3,245.95
2022-11-30 00:00:00+05:30,247.0,263.4,226.35,227.25
2022-12-31 00:00:00+05:30,228.4,234.45,214.2,225.05
2023-01-31 00:00:00+05:30,226.75,232.0,211.1,224.85
2023-02-28 00:00:00+05:30,228.0,228.0,209.15,215.4
2023-03-31 00:00:00+05:30,215.4,226.95,207.6,213.65
2023-04-30 00:00:00+05:30,214.1,234.75,213.8,233.1
2023-05-31 00:00:00+05:30,233.2,247.9,230.0,241.25
2023-06-30 00:00:00+05:30,230.4,233.4,223.25,231.0
2023-07-31 00:00:00+05:30,231.5,237.3,226.85,229.25
2023-08-31 00:00:00+05:30,230.0,243.15,227.0,230.05
2023-09-30 00:00:00+05:30,230.7,297.5,230.65,295.2
2023-10-31 00:00:00+05:30,297.05,319.75,283.05,314.25
2023-11-30 00:00:00+05:30,313.2,359.0,305.85,342.15
2023-12-31 00:00:00+05:30,343.8,382.5,342.3,376.0
2024-01-31 00:00:00+05:30,377.8,415.8,368.0,406.15
2024-02-29 00:00:00+05:30,408.8,487.6,402.5,436.7
2024-03-31 00:00:00+05:30,438.0,465.4,401.2,434.1
2024-04-30 00:00:00+05:30,436.7,463.45,428.05,454.3
2024-05-31 00:00:00+05:30,457.55,507.35,434.7,491.2
2024-06-30 00:00:00+05:30,515.0,527.4,410.8,473.15
2024-07-31 00:00:00+05:30,473.35,525.6,464.55,522.2
2024-08-31 00:00:00+05:30,535.0,543.55,497.55,524.95
2024-09-30 00:00:00+05:30,527.0,529.0,476.25,510.15
2024-10-31 00:00:00+05:30,512.0,516.0,435.25,452.05
2024-11-30 00:00:00+05:30,454.65,459.55,402.6,416.4
2024-12-31 00:00:00+05:30,418.4,425.9,375.7,384.15
2025-01-31 00:00:00+05:30,383.55,399.3,361.25,395.9
