Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,142.35,174.85,141.2,172.6
2022-02-28 00:00:00+05:30,174.0,176.35,155.8,160.65
2022-03-31 00:00:00+05:30,165.65,194.95,161.15,163.9
2022-04-30 00:00:00+05:30,163.9,179.8,159.5,160.45
2022-05-31 00:00:00+05:30,158.15,168.4,141.1,151.25
2022-06-30 00:00:00+05:30,151.2,167.35,130.0,151.55
2022-07-31 00:00:00+05:30,148.95,151.15,119.85,134.15
2022-08-31 00:00:00+05:30,134.1,141.9,129.8,138.6
2022-09-30 00:00:00+05:30,135.0,136.25,121.5,126.8
2022-10-31 00:00:00+05:30,131.7,136.55,125.8,134.05
2022-11-30 00:00:00+05:30,134.1,143.8,132.9,141.1
2022-12-31 00:00:00+05:30,141.45,150.5,139.2,146.75
2023-01-31 00:00:00+05:30,147.3,154.15,143.25,144.9
2023-02-28 00:00:00+05:30,145.8,158.8,140.1,152.05
2023-03-31 00:00:00+05:30,152.0,159.7,146.5,151.05
2023-04-30 00:00:00+05:30,154.5,161.8,150.0,158.95
2023-05-31 00:00:00+05:30,159.5,169.0,150.05,154.9
2023-06-30 00:00:00+05:30,154.7,161.0,152.55,160.3
2023-07-31 00:00:00+05:30,160.3,177.5,160.0,177.05
2023-08-31 00:00:00+05:30,175.3,180.45,171.5,174.15
2023-09-30 00:00:00+05:30,174.4,192.25,174.4,191.85
2023-10-31 00:00:00+05:30,189.3,189.8,179.9,186.15
2023-11-30 00:00:00+05:30,186.15,203.4,185.05,194.95
2023-12-31 00:00:00+05:30,195.25,212.0,192.05,205.05
2024-01-31 00:00:00+05:30,206.0,263.3,203.65,252.25
2024-02-29 00:00:00+05:30,254.65,281.15,245.45,264.6
2024-03-31 00:00:00+05:30,266.5,284.95,248.9,268.05
2024-04-30 00:00:00+05:30,268.05,292.55,265.0,282.85
2024-05-31 00:00:00+05:30,281.0,292.95,262.05,264.35
2024-06-30 00:00:00+05:30,277.95,286.55,223.0,274.2
2024-07-31 00:00:00+05:30,275.0,339.55,271.5,334.2
2024-08-31 00:00:00+05:30,337.8,345.0,305.15,330.75
2024-09-30 00:00:00+05:30,330.0,331.95,282.5,297.6
2024-10-31 00:00:00+05:30,297.0,299.7,255.3,266.15
2024-11-30 00:00:00+05:30,269.8,274.35,240.8,256.7
2024-12-31 00:00:00+05:30,255.5,264.7,231.15,239.25
2025-01-31 00:00:00+05:30,237.81,273.5,236.35,262.61
