Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,244.36,259.97,220.64,245.68
2022-02-28 00:00:00+05:30,249.72,260.87,212.0,224.84
2022-03-31 00:00:00+05:30,220.6,229.46,200.4,226.97
2022-04-30 00:00:00+05:30,227.0,247.8,215.27,240.41
2022-05-31 00:00:00+05:30,237.94,251.49,209.42,235.24
2022-06-30 00:00:00+05:30,235.04,259.44,222.51,256.27
2022-07-31 00:00:00+05:30,253.24,301.8,246.74,275.95
2022-08-31 00:00:00+05:30,276.0,285.06,259.64,270.93
2022-09-30 00:00:00+05:30,268.4,278.31,229.2,239.51
2022-10-31 00:00:00+05:30,240.0,256.77,231.53,245.83
2022-11-30 00:00:00+05:30,246.3,275.0,239.17,270.0
2022-12-31 00:00:00+05:30,269.29,283.9,250.27,275.38
2023-01-31 00:00:00+05:30,276.2,278.0,245.48,257.32
2023-02-28 00:00:00+05:30,265.6,273.38,238.0,240.67
2023-03-31 00:00:00+05:30,241.4,262.94,238.6,251.88
2023-04-30 00:00:00+05:30,253.2,293.86,253.2,266.52
2023-05-31 00:00:00+05:30,269.78,284.68,261.2,279.95
2023-06-30 00:00:00+05:30,279.95,358.71,277.15,347.04
2023-07-31 00:00:00+05:30,350.54,379.6,340.77,378.63
2023-08-31 00:00:00+05:30,378.63,387.8,352.02,385.66
2023-09-30 00:00:00+05:30,386.0,394.36,371.27,383.87
2023-10-31 00:00:00+05:30,387.6,405.94,352.17,375.97
2023-11-30 00:00:00+05:30,376.8,410.2,375.23,401.44
2023-12-31 00:00:00+05:30,402.8,426.0,394.4,410.66
2024-01-31 00:00:00+05:30,411.11,499.31,403.2,493.36
2024-02-29 00:00:00+05:30,482.2,507.0,447.05,487.72
2024-03-31 00:00:00+05:30,493.9,499.98,450.2,471.96
2024-04-30 00:00:00+05:30,474.2,521.13,465.02,510.34
2024-05-31 00:00:00+05:30,509.31,531.6,453.0,470.81
2024-06-30 00:00:00+05:30,490.0,611.89,438.6,582.3
2024-07-31 00:00:00+05:30,580.41,608.8,527.1,586.39
2024-08-31 00:00:00+05:30,586.58,653.78,561.62,640.9
2024-09-30 00:00:00+05:30,643.99,730.45,638.01,715.39
2024-10-31 00:00:00+05:30,715.4,725.56,605.6,627.78
2024-11-30 00:00:00+05:30,631.8,640.0,549.11,603.93
2024-12-31 00:00:00+05:30,603.93,653.52,568.73,577.83
2025-01-31 00:00:00+05:30,579.8,619.6,493.35,543.75
