Datetime,Open,High,Low,Close
2022-01-31 00:00:00+05:30,737.83,767.46,666.71,718.37
2022-02-28 00:00:00+05:30,723.01,759.56,665.77,709.78
2022-03-31 00:00:00+05:30,703.21,773.14,642.22,767.86
2022-04-30 00:00:00+05:30,770.37,826.58,769.44,813.64
2022-05-31 00:00:00+05:30,813.19,821.79,689.43,750.42
2022-06-30 00:00:00+05:30,750.67,770.92,694.47,697.68
2022-07-31 00:00:00+05:30,691.41,813.88,688.44,801.69
2022-08-31 00:00:00+05:30,802.03,815.86,751.21,799.71
2022-09-30 00:00:00+05:30,799.71,850.58,752.64,792.99
2022-10-31 00:00:00+05:30,792.99,794.92,729.73,760.69
2022-11-30 00:00:00+05:30,763.51,811.86,747.36,808.01
2022-12-31 00:00:00+05:30,811.81,811.81,753.73,757.53
2023-01-31 00:00:00+05:30,760.45,771.41,716.15,720.54
2023-02-28 00:00:00+05:30,728.2,739.21,691.41,706.52
2023-03-31 00:00:00+05:30,704.2,714.32,678.17,700.15
2023-04-30 00:00:00+05:30,701.28,755.61,687.9,754.47
2023-05-31 00:00:00+05:30,758.52,790.18,747.16,788.84
2023-06-30 00:00:00+05:30,789.09,866.43,774.82,850.33
2023-07-31 00:00:00+05:30,856.31,873.1,811.91,848.75
2023-08-31 00:00:00+05:30,851.32,852.7,818.08,824.11
2023-09-30 00:00:00+05:30,822.77,898.73,822.77,866.13
2023-10-31 00:00:00+05:30,859.32,916.61,844.5,889.44
2023-11-30 00:00:00+05:30,894.88,936.56,884.7,929.2
2023-12-31 00:00:00+05:30,934.29,1080.57,928.21,1073.46
2024-01-31 00:00:00+05:30,1080.42,1176.33,1062.79,1104.27
2024-02-29 00:00:00+05:30,1104.27,1190.21,1061.8,1175.44
2024-03-31 00:00:00+05:30,1189.22,1253.42,1070.79,1082.74
2024-04-30 00:00:00+05:30,1086.5,1165.41,1064.17,1094.74
2024-05-31 00:00:00+05:30,1100.32,1117.31,1035.43,1047.23
2024-06-30 00:00:00+05:30,1063.19,1145.76,1016.27,1083.98
2024-07-31 00:00:00+05:30,1076.72,1247.1,1066.74,1188.95
2024-08-31 00:00:00+05:30,1188.95,1221.85,1151.0,1200.15
2024-09-30 00:00:00+05:30,1200.0,1234.3,1168.75,1196.95
2024-10-31 00:00:00+05:30,1196.95,1205.45,964.0,1002.55
2024-11-30 00:00:00+05:30,1002.55,1013.1,900.5,958.65
2024-12-31 00:00:00+05:30,958.65,976.4,882.9,914.7
2025-01-31 00:00:00+05:30,913.0,1031.2,911.0,1024.65
