,Signal_Date,Buy_Price,StopLoss,First_Bottom_Date,Second_Bottom_Date,Neckline
0,2021-06-28 05:30:00+05:30,426.75,400.5,2021-06-18 05:30:00+05:30,2021-06-21 05:30:00+05:30,423.9
1,2021-09-07 05:30:00+05:30,429.1,418.7,2021-06-23 05:30:00+05:30,2021-08-31 05:30:00+05:30,467.45
2,2021-09-15 05:30:00+05:30,443.85,425.1,2021-08-31 05:30:00+05:30,2021-09-07 05:30:00+05:30,434.3
3,2021-12-06 05:30:00+05:30,465.3,454.3,2021-10-04 05:30:00+05:30,2021-11-29 05:30:00+05:30,542.3
4,2021-12-07 05:30:00+05:30,476.7,458.0,2021-11-29 05:30:00+05:30,2021-11-30 05:30:00+05:30,477.75
5,2022-03-04 05:30:00+05:30,461.95,468.0,2021-12-06 05:30:00+05:30,2022-02-24 05:30:00+05:30,549.0
6,2022-07-05 05:30:00+05:30,472.15,467.0,2021-12-07 05:30:00+05:30,2022-03-02 05:30:00+05:30,549.0
7,2022-07-11 05:30:00+05:30,488.2,425.0,2022-03-07 05:30:00+05:30,2022-03-08 05:30:00+05:30,453.95
8,2022-08-30 05:30:00+05:30,531.25,508.25,2022-07-20 05:30:00+05:30,2022-08-23 05:30:00+05:30,546.4
9,2022-09-06 05:30:00+05:30,537.8,508.75,2022-08-23 05:30:00+05:30,2022-08-29 05:30:00+05:30,529.5
10,2022-09-07 05:30:00+05:30,532.85,517.95,2022-08-23 05:30:00+05:30,2022-08-30 05:30:00+05:30,532.5
11,2022-10-21 05:30:00+05:30,560.85,519.55,2022-08-30 05:30:00+05:30,2022-09-29 05:30:00+05:30,578.5
12,2022-10-24 05:30:00+05:30,570.5,524.2,2022-09-29 05:30:00+05:30,2022-10-17 05:30:00+05:30,544.7
13,2022-12-30 05:30:00+05:30,613.7,571.5,2022-10-28 05:30:00+05:30,2022-12-23 05:30:00+05:30,629.55
14,2023-01-02 05:30:00+05:30,612.2,570.7,2022-11-03 05:30:00+05:30,2022-12-26 05:30:00+05:30,629.55
15,2023-04-21 05:30:00+05:30,543.15,527.15,2023-04-12 05:30:00+05:30,2023-04-13 05:30:00+05:30,534.25
16,2023-04-24 05:30:00+05:30,554.6,528.0,2023-04-12 05:30:00+05:30,2023-04-17 05:30:00+05:30,545.0
17,2023-06-27 05:30:00+05:30,566.1,562.55,2023-04-25 05:30:00+05:30,2023-06-20 05:30:00+05:30,596.4
18,2023-06-30 05:30:00+05:30,572.85,561.05,2023-04-27 05:30:00+05:30,2023-06-22 05:30:00+05:30,596.4
19,2023-07-03 05:30:00+05:30,585.45,553.8,2023-05-10 05:30:00+05:30,2023-06-23 05:30:00+05:30,596.4
20,2023-07-04 05:30:00+05:30,589.25,554.5,2023-06-23 05:30:00+05:30,2023-06-26 05:30:00+05:30,562.1
21,2023-07-05 05:30:00+05:30,590.6,555.65,2023-06-23 05:30:00+05:30,2023-06-27 05:30:00+05:30,567.95
22,2023-10-09 05:30:00+05:30,585.1,559.4,2023-06-23 05:30:00+05:30,2023-08-31 05:30:00+05:30,621.9
23,2023-10-10 05:30:00+05:30,591.65,562.1,2023-08-31 05:30:00+05:30,2023-09-01 05:30:00+05:30,571.2
24,2023-10-11 05:30:00+05:30,588.35,568.45,2023-08-31 05:30:00+05:30,2023-09-04 05:30:00+05:30,576.35
25,2023-11-09 05:30:00+05:30,578.35,569.35,2023-08-31 05:30:00+05:30,2023-10-18 05:30:00+05:30,598.95
26,2024-01-31 05:30:00+05:30,640.5,600.65,2023-12-05 05:30:00+05:30,2024-01-23 05:30:00+05:30,660.4
27,2024-02-01 05:30:00+05:30,647.65,603.1,2024-01-23 05:30:00+05:30,2024-01-24 05:30:00+05:30,634.9
28,2024-02-02 05:30:00+05:30,649.65,606.25,2024-01-23 05:30:00+05:30,2024-01-25 05:30:00+05:30,634.9
29,2024-03-28 05:30:00+05:30,752.35,719.8,2024-03-14 05:30:00+05:30,2024-03-20 05:30:00+05:30,750.8
30,2024-04-04 05:30:00+05:30,759.3,730.2,2024-03-20 05:30:00+05:30,2024-03-27 05:30:00+05:30,750.6
31,2024-04-26 05:30:00+05:30,801.3,732.05,2024-03-20 05:30:00+05:30,2024-04-19 05:30:00+05:30,780.7
32,2024-06-11 05:30:00+05:30,835.55,731.95,2024-04-19 05:30:00+05:30,2024-06-04 05:30:00+05:30,912.0
33,2024-06-12 05:30:00+05:30,839.1,744.05,2024-06-04 05:30:00+05:30,2024-06-05 05:30:00+05:30,897.0
34,2024-11-06 05:30:00+05:30,854.8,800.0,2024-06-07 05:30:00+05:30,2024-08-05 05:30:00+05:30,899.0
35,2025-03-25 05:30:00+05:30,772.85,722.6,2025-03-17 05:30:00+05:30,2025-03-18 05:30:00+05:30,738.45
36,2025-05-16 05:30:00+05:30,792.1,755.5,2025-03-20 05:30:00+05:30,2025-05-09 05:30:00+05:30,835.5
37,2025-06-26 05:30:00+05:30,797.05,781.7,2025-05-21 05:30:00+05:30,2025-06-19 05:30:00+05:30,824.5
