,Symbol,Weekly_High,Weekly_Low,Prev_day_close,Signal
0,NSE:ABB-EQ,5195.0,5003.5,5100.5,NA
1,NSE:ADANIENSOL-EQ,831.9,783.0,805.75,NA
2,NSE:ADANIENT-EQ,2406.0,2300.0,2302.9,NA
3,NSE:ADANIGREEN-EQ,984.0,925.75,964.1,NA
4,NSE:ADANIPORTS-EQ,1377.8,1295.0,1340.4,NA
5,NSE:ADANIPOWER-EQ,608.0,586.5,605.65,NA
6,NSE:AMBUJACEM-EQ,605.45,576.0,581.0,NA
7,NSE:APOLLOHOSP-EQ,7980.0,7800.0,7851.0,NA
8,NSE:ASIANPAINT-EQ,2595.0,2501.1,2492.9,NA
9,NSE:DMART-EQ,4759.9,4401.5,4725.3,NA
10,NSE:AXISBANK-EQ,1095.0,1069.5,1070.0,Signal Generated by breaking week low
11,NSE:BAJAJ-AUTO-EQ,8872.5,8400.0,8750.5,NA
12,NSE:BAJFINANCE-EQ,919.65,875.0,900.8,NA
13,NSE:BAJAJFINSV-EQ,2017.0,1949.2,1963.8,NA
14,NSE:BAJAJHLDNG-EQ,14763.0,13405.0,13265.0,NA
15,NSE:BAJAJHFL-EQ,117.98,112.6,113.44,NA
16,NSE:BANKBARODA-EQ,248.5,240.0,241.08,NA
17,NSE:BEL-EQ,389.75,371.1,372.05,NA
18,NSE:BPCL-EQ,323.8,312.45,315.8,NA
19,NSE:BHARTIARTL-EQ,1952.0,1870.3,1930.7,NA
20,NSE:BOSCHLTD-EQ,40280.0,38870.0,39085.0,NA
21,NSE:BRITANNIA-EQ,5734.5,5399.0,5550.5,NA
22,NSE:CGPOWER-EQ,687.6,667.5,677.2,NA
23,NSE:CANBK-EQ,113.0,108.9,108.82,NA
24,NSE:CHOLAFIN-EQ,1536.3,1495.8,1509.4,NA
25,NSE:CIPLA-EQ,1602.0,1533.4,1601.2,NA
26,NSE:COALINDIA-EQ,388.55,374.05,380.0,NA
27,NSE:DLF-EQ,783.9,759.05,772.0,NA
28,NSE:DABUR-EQ,536.45,512.0,518.6,NA
29,NSE:DIVISLAB-EQ,6211.5,5952.5,6248.5,NA
30,NSE:DRREDDY-EQ,1284.1,1238.0,1283.9,NA
